0.0;1.0
0.125;1.007752400289958
0.25;1.0306649168746416
0.375;1.0677748845273498
0.5;1.1176843298127148
0.625;1.1787819440466383
0.75;1.2494368659881878
0.875;1.3281300806919574
1.0;1.4135221837353955
1.125;1.5044735897279777
1.25;1.6000362252641256
1.375;1.6994316223895647
1.5;1.8020248108844164
1.625;1.907299007219307
1.75;2.0148332811603216
1.875;2.124283820713146
2.0;2.235368659625896
2.125;2.3478554275963353
2.25;2.4615516088337475
2.375;2.5762968240863624
2.5;2.6919567191110376
2.625;2.8084181176520726
2.75;2.925585165941311
2.875;3.043376254042715
3.0;3.16172154659416
